# Revit Export Layers
# Maps Categories and Subcategories to layer names and color numbers
# Category <tab> Subcategory <tab> Layer name <tab> Color number <tab>
# Cut layer name <tab> Cut color number
# Do not remove the colon (:) after certain category names.
# -----------------------------------------------------
Air Terminals		IfcAirTerminal			
Railings	<Above> Top Rails	IfcRailing			
Railings	Balusters	IfcRailing			
Railings	Handrails	IfcRailing			
Railings	Hidden Lines	IfcRailing			
Railings	Rails	IfcRailing			
Railings	Supports	IfcRailing			
Railings	Terminations	IfcRailing			
Railings	Top Rails	IfcRailing			
Ramps		IfcRamp			
Ramps	Down Arrow	IfcRamp			
Ramps	DOWN text	IfcRamp			
Ramps	Hidden Lines	IfcRamp			
Ramps	Incomplete ramps	IfcRamp			
Ramps	Ramps Beyond Cut Line	IfcRamp			
Ramps	Stringers	IfcRamp			
Ramps	Stringers Beyond Cut Line	IfcRamp			
Ramps	Up Arrow	IfcRamp			
Ramps	UP text	IfcRamp			
Raster Images		Not Exported			
Reference Planes		Not Exported			
Roads		IfcBuildingElementProxy			
Roads	Hidden Lines	IfcBuildingElementProxy			
Roof Tags		Not Exported			
Roofs		IfcRoof			
Roofs	Common Edges	IfcRoof			
Roofs	Curtain Roof Grids	IfcRoof			
Roofs	Cut Pattern	IfcRoof			
Roofs	Fascias	IfcRoof			
Roofs	Finish 1 [4]	IfcRoof			
Roofs	Finish 2 [5]	IfcRoof			
Roofs	Gutters	IfcRoof			
Roofs	Hidden Lines	IfcRoof			
Roofs	Interior Edges	IfcRoof			
Roofs	Membrane Layer	IfcRoof			
Roofs	Roof Soffits	IfcRoof			
Roofs	Structure [1]	IfcRoof			
Roofs	Substrate [2]	IfcRoof			
Roofs	Surface Pattern	IfcRoof			
Roofs	Thermal/Air Layer [3]	IfcRoof			
Room Polylines		Not Exported			
Room Tags		Not Exported			
Rooms		IfcSpace			
Rooms	Color Fill	IfcSpace			
Rooms	Interior Fill	IfcSpace			
Rooms	Reference	IfcSpace			
Ruled Curtain System		IfcCurtainWall			
Schedule Graphics		Not Exported			
Scope Boxes		Not Exported			
